,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
118,19763,2022-10-23 15:05:00,Nice,Nantes,1,1,1,1,1.34146,1.27743,1.4019,1.2731999999999999
119,19761,2022-10-23 18:45:00,Lille,Monaco,4,3,3,0,2.49712,1.76468,1.8950999999999998,0.8652
120,19774,2022-10-28 19:00:00,Lens,Toulouse,3,0,3,0,2.64413,0.845923,2.6601,0.21960000000000002
121,19773,2022-10-29 15:00:00,Paris Saint Germain,Troyes,4,3,3,0,2.67967,1.60184,2.1282,0.6819
122,19775,2022-10-29 19:00:00,Strasbourg,Marseille,2,2,1,1,0.890654,1.93874,0.5705,2.2091000000000003
123,19768,2022-10-30 12:00:00,Auxerre,Ajaccio,1,0,3,0,0.92577,0.500233,1.7003,0.9296
124,19769,2022-10-30 14:00:00,Monaco,Angers,2,0,3,0,1.93991,0.437042,2.5914,0.26280000000000003
125,19771,2022-10-30 14:00:00,Nantes,Clermont Foot,1,1,1,1,1.95172,0.713991,2.4609,0.3465
126,19776,2022-10-30 14:00:00,Brest,Reims,0,0,1,1,1.54791,0.982999,1.8376,0.895
127,19777,2022-10-30 14:00:00,Rennes,Montpellier,3,0,3,0,1.53875,0.975256,1.8052,0.9163000000000001
128,19770,2022-10-30 16:05:00,Lorient,Nice,1,2,0,3,1.28783,2.19849,0.6788000000000001,2.1050000000000004
129,19772,2022-10-30 19:45:00,Lyon,Lille,1,0,3,0,1.19346,1.62118,1.0459999999999998,1.6690999999999998
130,19787,2022-11-04 20:00:00,Troyes,Auxerre,1,1,1,1,1.93768,1.45801,1.6948,1.0711000000000002
131,19778,2022-11-05 16:00:00,Ajaccio,Strasbourg,4,2,3,0,3.68734,0.670138,2.912,0.0569
132,19779,2022-11-05 20:00:00,Angers,Lens,1,2,0,3,0.829243,2.17996,0.4252,2.3796999999999997
133,19781,2022-11-06 12:00:00,Lorient,Paris Saint Germain,1,2,0,3,0.812458,2.35683,0.3801,2.4564
134,19780,2022-11-06 14:00:00,Clermont Foot,Montpellier,1,1,1,1,3.88422,1.22262,2.8788,0.0765
135,19783,2022-11-06 14:00:00,Nice,Brest,1,0,3,0,0.813513,1.08297,1.0635,1.617
136,19785,2022-11-06 14:00:00,Reims,Nantes,1,0,3,0,3.70953,0.506816,2.9083,0.0586
137,19786,2022-11-06 14:00:00,Toulouse,Monaco,0,2,0,3,0.569642,2.03182,0.3572,2.4752
138,19782,2022-11-06 16:05:00,Lille,Rennes,1,1,1,1,2.72861,0.800938,2.6701,0.208
139,19784,2022-11-06 19:45:00,Marseille,Lyon,1,0,3,0,1.07268,0.632118,1.7926,0.8764000000000001
140,19792,2022-11-11 20:00:00,Lyon,Nice,1,1,1,1,1.15632,1.71081,0.8825999999999999,1.8081
141,19794,2022-11-12 16:00:00,Lens,Clermont Foot,2,1,3,0,1.4242,0.213092,2.4038,0.3614
142,19797,2022-11-12 20:00:00,Rennes,Toulouse,2,1,3,0,1.94787,1.11684,2.0708,0.6910999999999999
143,19793,2022-11-13 12:00:00,Paris Saint Germain,Auxerre,5,0,3,0,2.22316,0.602881,2.553,0.3003
144,19789,2022-11-13 14:00:00,Nantes,Ajaccio,2,2,1,1,0.982738,2.40866,0.4142,2.4233000000000002
145,19790,2022-11-13 14:00:00,Lille,Angers,1,0,3,0,1.07614,0.448121,1.9523000000000001,0.7316
146,19791,2022-11-13 14:00:00,Montpellier,Reims,1,1,1,1,2.07463,2.12638,1.3248,1.4271
147,19796,2022-11-13 14:00:00,Brest,Troyes,2,1,3,0,2.21142,0.4443,2.7123,0.1851
